Tag,Sebelum Preprocessing,Sesudah Preprocessing
salam,Hai,hai
salam,Halo,hai
salam,Hey,hai
salam,Hei,hai
salam,Selamat pagi,selamat pagi
salam,Selamat siang,selamat siang
salam,Selamat sore,selamat sore
salam,Selamat malam,selamat malam
salam,Assalamualaikum,assalamualaikum
salam,Samlekom,assalamualaikum
salam,Permisi velyn,permisi
perkenalan,Siapa kamu?,siapa kamu
perkenalan,Nama kamu siapa?,nama kamu siapa
perkenalan,Kenalan dulu yuk,kenal dulu
perkenalan,Boleh kenalan?,boleh kenal
perkenalan,Kamu itu siapa sih?,kamu siapa
perkenalan,Perkenalkan diri kamu,kenal diri kamu
perkenalan,Kenalin diri dong,kenal diri
perkenalan,Aku mau tahu kamu itu siapa?,saya mau tahu kamu siapa
perkenalan,Jelasin kamu itu siapa?,jelas kamu siapa
perkenalan,Identitas kamu siapa?,identitas kamu siapa
perkenalan,Coba perkenalan diri dulu,coba kenal diri dulu
minta_rekomendasi,Info rekomendasi anime dong,informasi rekomendasi anime
minta_rekomendasi,Ada rekomendasi anime?,ada rekomendasi anime
minta_rekomendasi,Rekomendasi anime dong,rekomendasi anime
minta_rekomendasi,Minta rekomendasi anime dong,minta rekomendasi anime
minta_rekomendasi,Gw cari anime nih,saya cari anime
minta_rekomendasi,Saranin anime dong,saran anime
minta_rekomendasi,Request anime,request anime
minta_rekomendasi,Butuh rekomendasi anime nih,butuh rekomendasi anime
minta_rekomendasi,Aku mau rekomendasi anime dong,saya mau rekomendasi anime
minta_rekomendasi,Boleh minta rekomendasi anime?,boleh minta rekomendasi anime
minta_rekomendasi,Cariin anime buat aku dong,cari anime untuk saya
minta_rekomendasi,Mau saran anime yang bagus,mau saran anime bagus
minta_rekomendasi,Lagi pengen nyari anime nih,lagi ingin cari anime
minta_rekomendasi,Bantu carikan anime,bantu cari anime
minta_rekomendasi,Minta list anime terbaik,minta daftar anime baik
minta_rekomendasi,Rekomendasi anime yang cocok,rekomendasi anime sesuai
minta_rekomendasi,Saranin aku anime seru,saran saya anime seru
minta_rekomendasi,Butuh tontonan anime,butuh tonton anime
mau,Iya mau,iya mau
mau,Aku mau,saya mau
mau,Ya jelas mau,iya jelas mau
mau,Lanjutkan aja,lanjut
mau,Ayo gas,gas
mau,Boleh lanjut,boleh lanjut
mau,Ayo lanjutin,lanjut
mau,Oke aku mau,oke saya mau
mau,Mau aja aku,mau saya
mau,Setuju,tuju
mau,Siap lanjut,siap lanjut
gak_mau,Gak mau,tidak mau
gak_mau,Nggak mau,tidak mau
gak_mau,Ngga mau,tidak mau
gak_mau,Aku gak mau,saya tidak mau
gak_mau,Gak mau sekarang,tidak mau sekarang
gak_mau,Gak tertarik,tidak tarik
gak_mau,Nggak tertarik,tidak tarik
gak_mau,Gak mau lanjut,tidak mau lanjut
gak_mau,Gak pengen,tidak ingin
gak_mau,Nggak pengen,tidak ingin
gak_mau,Gak minat,tidak minat
gak_mau,Males ah gak mau,malas ah tidak mau
terimakasih,Terima kasih,terima kasih
terimakasih,Makasih,terima kasih
terimakasih,Thanks,terima kasih
terimakasih,Tengkyu,terima kasih
terimakasih,Trimakasih,terima kasih
terimakasih,Thx,terima kasih
terimakasih,Makasih banyak,terima kasih banyak
terimakasih,Terima kasih banyak,terima kasih banyak
terimakasih,Makasih bantuannya,terima kasih bantu
terimakasih,Makasih banget,terima kasih sangat
terimakasih,Terima kasih udah kasih rekomendasi,terima kasih kasih rekomendasi
terimakasih,Makasih udah bantu,terima kasih bantu
terimakasih,Makasih rekomendasinya,terima kasih rekomendasi
selamat_tinggal,Bye,bye
selamat_tinggal,Dadah,dadah
selamat_tinggal,Pamit dulu,pamit dulu
selamat_tinggal,Sampai jumpa,sampai jumpa
selamat_tinggal,Aku pergi dulu,saya pergi dulu
selamat_tinggal,Cabut dulu,cabut dulu
selamat_tinggal,Sampai ketemu lagi,sampai ketemu lagi
selamat_tinggal,See you later,see you later
selamat_tinggal,Bye bye,bye bye
selamat_tinggal,Pamit,pamit
selamat_tinggal,Selamat tinggal,selamat tinggal
selamat_tinggal,Sampai ketemu besok,sampai ketemu besok
tanya_cara_pakai,Cara pakai bot ini gimana?,cara pakai bagaimana
tanya_cara_pakai,Gimana cara pakainya?,bagaimana cara pakai
tanya_cara_pakai,Tutorial pakai bot ini?,pandu pakai
tanya_cara_pakai,Panduan cara pake bot?,pandu cara pake
tanya_cara_pakai,Langkah make bot ini?,langkah make
tanya_cara_pakai,Cara minta rekomendasi anime gimana?,cara minta rekomendasi anime bagaimana
tanya_cara_pakai,Cara request anime?,cara request anime
tanya_cara_pakai,Tutor cara pakai dong,pandu cara pakai
tanya_cara_pakai,Gimana cara pakai fitur rekomendasi?,bagaimana cara pakai fitur rekomendasi
tanya_cara_pakai,Jelasin cara pakai,jelas cara pakai
tanya_cara_pakai,Gimana caranya buat minta rekomendasi?,bagaimana cara untuk minta rekomendasi
tanya_cara_pakai,Step by step cara pakainya gimana?,step by step cara pakai bagaimana
nanyain_genre,Apa itu genre?,apa genre
nanyain_genre,Arti genre dalam anime?,definisi genre dalam anime
nanyain_genre,Genre maksudnya apa sih?,genre maksud apa
nanyain_genre,Jelasin pengertian genre?,jelas definisi genre
nanyain_genre,Tema itu ceritain tentang apa?,tema ceritain tentang apa
nanyain_genre,Maksud istilah genre anime itu apa?,maksud istilah genre anime apa
nanyain_genre,Genre itu artinya gimana?,genre arti bagaimana
nanyain_genre,Jelasin genre itu alur ceritanya gimana?,jelas genre alur cerita bagaimana
nanyain_genre,Genre itu maksudnya apa?,genre maksud apa
nanyain_genre,Apa beda genre dan tema?,apa beda genre tema
nanyain_genre,Jelaskan genre?,jelas genre
nanyain_genre,Tema itu apa?,tema apa
nanyain_genre,Tema itu maksudnya yang gimana?,tema maksud bagaimana
nanyain_genre,Genre itu ceritanya tentang apa?,genre cerita tentang apa
tanya_fitur,Kamu bisa ngapain aja sih?,kamu bisa ngapain
tanya_fitur,Fitur kamu apa aja?,fitur kamu apa
tanya_fitur,Kamu bisa bantu apa?,kamu bisa bantu apa
tanya_fitur,Bisa ngapain aja di sini?,bisa ngapain sini
tanya_fitur,Apa yang bisa kamu lakuin?,apa bisa kamu lakuin
tanya_fitur,Kamu ada fitur apa?,kamu ada fitur apa
tanya_fitur,Aku bisa pake kamu buat apa?,saya bisa pake kamu untuk apa
tanya_fitur,Kamu bisa bantu hal apa aja?,kamu bisa bantu hal apa
tanya_fitur,Aku pengen tau kamu bisa apa?,saya ingin tahu kamu bisa apa
tanya_fitur,Apa aja yang bisa aku lakuin disini?,apa bisa saya lakuin sini
tanya_fitur,Kamu mendukung fitur apa aja?,kamu dukung fitur apa
tanya_fitur,Apa aja kemampuan kamu?,apa mampu kamu
tanya_lagi_ngapain,Kamu lagi ngapain sekarang?,kamu lagi ngapain sekarang
tanya_lagi_ngapain,Kamu lagi ngapain sih?,kamu lagi ngapain
tanya_lagi_ngapain,Lagi ngapain kamu?,lagi ngapain kamu
tanya_lagi_ngapain,Kamu lagi ngapain aja hari ini?,kamu lagi ngapain hari
tanya_lagi_ngapain,Kamu lagi ngapain dari tadi?,kamu lagi ngapain dari tadi
tanya_lagi_ngapain,Kamu lagi ngerjain apa?,kamu lagi ngerjain apa
tanya_lagi_ngapain,Lagi ngapain barusan?,lagi ngapain barusan
